Designatie;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed;e;Y1;Y2;Y0
23234-E1-XL-K-TVPB;170;310;110;1640;2170;163000;2090;1160;0,33;2,03;3,02;1,98
23234-E1-XL-TVPB;170;310;110;1640;2170;163000;2090;1160;0,33;2,03;3,02;1,98
23234-E1A-XL-K-M;170;310;110;1640;2170;163000;2090;1160;0,33;2,03;3,02;1,98
23234-E1A-XL-M;170;310;110;1640;2170;163000;2090;1160;0,33;2,03;3,02;1,98
22334-BE-XL;170;360;120;1870;2220;173000;2130;1320;0,35;1,95;2,9;1,91
22334-BE-XL-K;170;360;120;1870;2220;173000;2130;1320;0,35;1,95;2,9;1,91
23936-S-K-MB;180;250;52;445;840;57000;3200;1850;0,2;3,42;5,09;3,34
23936-S-MB;180;250;52;445;840;57000;3200;1850;0,2;3,42;5,09;3,34
23036-E1-XL-K-TVPB;180;280;74;1040;1450;169000;2600;1760;0,23;2,9;4,31;2,83
23036-E1-XL-TVPB;180;280;74;1040;1450;169000;2600;1760;0,23;2,9;4,31;2,83
23036-E1A-XL-K-M;180;280;74;1040;1450;169000;2600;1760;0,23;2,9;4,31;2,83
23036-E1A-XL-M;180;280;74;1040;1450;169000;2600;1760;0,23;2,9;4,31;2,83
24036-BE-XL;180;280;100;1130;1770;180000;2200;1420;0,32;2,1;3,13;2,06
24036-BE-XL-K30;180;280;100;1130;1770;180000;2200;1420;0,32;2,1;3,13;2,06
23136-E1-XL-K-TVPB;180;300;96;1420;1950;194000;2230;1350;0,29;2,32;3,45;2,26
23136-E1-XL-TVPB;180;300;96;1420;1950;194000;2230;1350;0,29;2,32;3,45;2,26
23136-E1A-XL-K-M;180;300;96;1420;1950;194000;2230;1350;0,29;2,32;3,45;2,26
23136-E1A-XL-M;180;300;96;1420;1950;194000;2230;1350;0,29;2,32;3,45;2,26
24136-BE-XL;180;300;118;1460;2170;203000;2000;980;0,36;1,86;2,77;1,82
24136-BE-XL-K30;180;300;118;1460;2170;203000;2000;980;0,36;1,86;2,77;1,82
22236-E1-XL;180;320;86;1360;1680;148000;2470;1670;0,25;2,71;4,04;2,65
22236-E1-XL-K;180;320;86;1360;1680;148000;2470;1670;0,25;2,71;4,04;2,65
23236-E1-XL-K-TVPB;180;320;112;1720;2340;173000;2010;1090;0,33;2,07;3,09;2,03
23236-E1-XL-TVPB;180;320;112;1720;2340;173000;2010;1090;0,33;2,07;3,09;2,03
23236-E1A-XL-K-M;180;320;112;1720;2340;173000;2010;1090;0,33;2,07;3,09;2,03
23236-E1A-XL-M;180;320;112;1720;2340;173000;2010;1090;0,33;2,07;3,09;2,03
22336-BE-XL;180;380;126;2060;2460;190000;2030;1230;0,34;1,96;2,92;1,92
22336-BE-XL-K;180;380;126;2060;2460;190000;2030;1230;0,34;1,96;2,92;1,92
23938-S-K-MB;190;260;52;470;890;62000;3150;1750;0,18;3,66;5,46;3,58
23938-S-MB;190;260;52;470;890;62000;3150;1750;0,18;3,66;5,46;3,58
23038-E1-XL-K-TVPB;190;290;75;1080;1550;179000;2490;1660;0,23;2,98;4,44;2,92
23038-E1-XL-TVPB;190;290;75;1080;1550;179000;2490;1660;0,23;2,98;4,44;2,92
23038-E1A-XL-K-M;190;290;75;1080;1550;179000;2490;1660;0,23;2,98;4,44;2,92
23038-E1A-XL-M;190;290;75;1080;1550;179000;2490;1660;0,23;2,98;4,44;2,92
24038-BE-XL;190;290;100;1160;1860;192000;2140;1330;0,31;2,2;3,27;2,15
24038-BE-XL-K30;190;290;100;1160;1860;192000;2140;1330;0,31;2,2;3,27;2,15
23138-E1-XL-K-TVPB;190;320;104;1610;2220;216000;2070;1260;0,3;2,28;3,39;2,23
23138-E1-XL-TVPB;190;320;104;1610;2220;216000;2070;1260;0,3;2,28;3,39;2,23
23138-E1A-XL-K-M;190;320;104;1610;2220;216000;2070;1260;0,3;2,28;3,39;2,23
23138-E1A-XL-M;190;320;104;1610;2220;216000;2070;1260;0,3;2,28;3,39;2,23
24138-BE-XL;190;320;128;1680;2550;226000;1850;880;0,37;1,82;2,7;1,78
24138-BE-XL-K30;190;320;128;1680;2550;226000;1850;880;0,37;1,82;2,7;1,78
22238-BE-XL;190;340;92;1360;1760;159000;2480;1620;0,26;2,6;3,87;2,54
22238-BE-XL-K;190;340;92;1360;1760;159000;2480;1620;0,26;2,6;3,87;2,54
23238-BE-XL;190;340;120;1740;2400;200000;1990;1070;0,34;1,98;2,94;1,93
23238-BE-XL-K;190;340;120;1740;2400;200000;1990;1070;0,34;1,98;2,94;1,93
22338-BE-XL;190;400;132;2220;2650;207000;1940;1160;0,34;1,96;2,92;1,92
22338-BE-XL-K;190;400;132;2220;2650;207000;1940;1160;0,34;1,96;2,92;1,92
23940-S-K-MB;200;280;60;550;1070;71000;2800;1650;0,2;3,42;5,09;3,34
23940-S-MB;200;280;60;550;1070;71000;2800;1650;0,2;3,42;5,09;3,34
23040-E1-XL-K-TVPB;200;310;82;1270;1800;202000;2330;1550;0,23;2,9;4,31;2,83
23040-E1-XL-TVPB;200;310;82;1270;1800;202000;2330;1550;0,23;2,9;4,31;2,83
23040-E1A-XL-K-M;200;310;82;1270;1800;202000;2330;1550;0,23;2,9;4,31;2,83
23040-E1A-XL-M;200;310;82;1270;1800;202000;2330;1550;0,23;2,9;4,31;2,83
24040-BE-XL;200;310;109;1350;2150;215000;2010;1240;0,32;2,13;3,17;2,08
24040-BE-XL-K30;200;310;109;1350;2150;215000;2010;1240;0,32;2,13;3,17;2,08
23140-BE-XL;200;340;112;1610;2270;188000;2040;1230;0,32;2,1;3,13;2,06
23140-BE-XL-K;200;340;112;1610;2270;188000;2040;1230;0,32;2,1;3,13;2,06
24140-BE-XL;200;340;140;1880;2800;250000;1780;840;0,39;1,71;2,54;1,67
24140-BE-XL-K30;200;340;140;1880;2800;250000;1780;840;0,39;1,71;2,54;1,67
22240-BE-XL;200;360;98;1520;1990;175000;2330;1510;0,26;2,57;3,83;2,52
22240-BE-XL-K;200;360;98;1520;1990;175000;2330;1510;0,26;2,57;3,83;2,52
23240-BE-XL;200;360;128;1940;2700;219000;1870;1000;0,35;1,95;2,9;1,91
23240-BE-XL-K;200;360;128;1940;2700;219000;1870;1000;0,35;1,95;2,9;1,91
22340-BE-XL;200;420;138;2440;2950;225000;1830;1080;0,34;1,98;2,94;1,93
22340-BE-XL-K;200;420;138;2440;2950;225000;1830;1080;0,34;1,98;2,94;1,93
23944-S-K-MB;220;300;60;610;1240;72000;2600;1460;0,18;3,76;5,59;3,67
23944-S-MB;220;300;60;610;1240;72000;2600;1460;0,18;3,76;5,59;3,67
23044-BE-XL;220;340;90;1260;1900;177000;2230;1450;0,24;2,81;4,19;2,75
23044-BE-XL-K;220;340;90;1260;1900;177000;2230;1450;0,24;2,81;4,19;2,75
24044-BE-XL;220;340;118;1620;2600;250000;1830;1090;0,32;2,1;3,13;2,06
24044-BE-XL-K30;220;340;118;1620;2600;250000;1830;1090;0,32;2,1;3,13;2,06
23144-BE-XL;220;370;120;1860;2700;217000;1860;1080;0,31;2,15;3,2;2,1
23144-BE-XL-K;220;370;120;1860;2700;217000;1860;1080;0,31;2,15;3,2;2,1
24144-BE-XL;220;370;150;2190;3250;290000;1650;750;0,39;1,74;2,59;1,7
24144-BE-XL-K30;220;370;150;2190;3250;290000;1650;750;0,39;1,74;2,59;1,7
22244-BE-XL;220;400;108;1840;2360;210000;2140;1350;0,26;2,57;3,83;2,52
22244-BE-XL-K;220;400;108;1840;2360;210000;2140;1350;0,26;2,57;3,83;2,52
23244-BE-XL;220;400;144;2380;3300;265000;1700;880;0,36;1,9;2,83;1,86
23244-BE-XL-K;220;400;144;2380;3300;265000;1700;880;0,36;1,9;2,83;1,86
22344-BE-XL;220;460;145;2800;3400;265000;1690;950;0,33;2,06;3,06;2,01
22344-BE-XL-K;220;460;145;2800;3400;265000;1690;950;0,33;2,06;3,06;2,01
23948-K-MB;240;320;60;640;1370;93000;2440;1310;0,17;4,05;6,04;3,96
23948-MB;240;320;60;640;1370;93000;2440;1310;0,17;4,05;6,04;3,96
23048-BE-XL;240;360;92;1350;2120;194000;2080;1310;0,23;2,98;4,44;2,92
24048-BE-XL;240;360;118;1670;2850;275000;1710;980;0,3;2,28;3,39;2,23
23148-BE-XL;240;400;128;2130;3150;248000;1700;970;0,31;2,18;3,24;2,13
24148-BE-XL;240;400;160;2600;3900;330000;1470;650;0,39;1,71;2,54;1,67
22248-BE-XL;240;440;120;2230;2900;247000;1900;1200;0,26;2,55;3,8;2,5
23248-BE-XL;240;440;160;2850;4000;310000;1500;770;0,36;1,87;2,79;1,83
22348-BEA-XL-MB1;240;500;155;3200;4050;305000;1510;830;0,32;2,12;3,15;2,07
23952-K-MB;260;360;75;940;1940;108000;2100;1190;0,19;3,54;5,27;3,46
23952-MB;260;360;75;940;1940;108000;2100;1190;0,19;3,54;5,27;3,46
23052-BE-XL;260;400;104;1670;2600;233000;1850;1170;0,23;2,9;4,31;2,83
23052-BE-XL-K;260;400;104;1670;2600;233000;1850;1170;0,23;2,9;4,31;2,83
24052-BE-XL;260;400;140;2210;3650;335000;1510;880;0,32;2,09;3,11;2,04
24052-BE-XL-K30;260;400;140;2210;3650;335000;1510;880;0,32;2,09;3,11;2,04
23152-BE-XL;260;440;144;2600;3900;305000;1500;860;0,32;2,12;3,15;2,07
23152-BE-XL-K;260;440;144;2600;3900;305000;1500;860;0,32;2,12;3,15;2,07
24152-BE-XL;260;440;180;3150;4900;390000;1290;560;0,4;1,67;2,49;1,63
24152-BE-XL-K30;260;440;180;3150;4900;390000;1290;560;0,4;1,67;2,49;1,63
22252-BEA-XL-K-MB1;260;480;130;2600;3450;290000;1720;1070;0,26;2,57;3,83;2,52
22252-BEA-XL-MB1;260;480;130;2600;3450;290000;1720;1070;0,26;2,57;3,83;2,52
23252-BEA-XL-K-MB1;260;480;174;3350;4750;360000;1360;690;0,36;1,87;2,79;1,83
23252-BEA-XL-MB1;260;480;174;3350;4750;360000;1360;690;0,36;1,87;2,79;1,83
22352-BEA-XL-K-MB1;260;540;165;3650;4650;350000;1390;740;0,31;2,15;3,2;2,1
22352-BEA-XL-MB1;260;540;165;3650;4650;350000;1390;740;0,31;2,15;3,2;2,1
23956-K-MB;280;380;75;970;2040;129000;2000;1100;0,18;3,76;5,59;3,67
23956-MB;280;380;75;970;2040;129000;2000;1100;0,18;3,76;5,59;3,67
23056-BE-XL;280;420;106;1780;2850;255000;1740;1090;0,22;3,01;4,48;2,94
23056-BE-XL-K;280;420;106;1780;2850;255000;1740;1090;0,22;3,01;4,48;2,94
24056-BE-XL;280;420;140;2290;3950;360000;1420;800;0,3;2,23;3,32;2,18
24056-BE-XL-K30;280;420;140;2290;3950;360000;1420;800;0,3;2,23;3,32;2,18
23156-BE-XL;280;460;146;2750;4200;315000;1420;790;0,31;2,21;3,29;2,16
23156-BE-XL-K;280;460;146;2750;4200;315000;1420;790;0,31;2,21;3,29;2,16
24156-BE-XL;280;460;180;3300;5200;425000;1230;520;0,38;1,76;2,62;1,72
24156-BE-XL-K30;280;460;180;3300;5200;425000;1230;520;0,38;1,76;2,62;1,72
22256-BEA-XL-K-MB1;280;500;130;2750;3700;310000;1650;990;0,25;2,71;4,04;2,65
22256-BEA-XL-MB1;280;500;130;2750;3700;310000;1650;990;0,25;2,71;4,04;2,65
23256-BEA-XL-K-MB1;280;500;176;3550;5200;385000;1280;630;0,34;1,96;2,92;1,92
23256-BEA-XL-MB1;280;500;176;3550;5200;385000;1280;630;0,34;1,96;2,92;1,92
22356-BEA-XL-K-MB1;280;580;175;4150;5300;395000;1280;670;0,31;2,18;3,24;2,13
22356-BEA-XL-MB1;280;580;175;4150;5300;395000;1280;670;0,31;2,18;3,24;2,13
23960-B-K-MB;300;420;90;1270;2650;165000;1780;1000;0,2;3,42;5,09;3,34
23960-B-MB;300;420;90;1270;2650;165000;1780;1000;0,2;3,42;5,09;3,34
23060-BE-XL;300;460;118;2160;3450;295000;1570;980;0,23;2,92;4,35;2,86
23060-BE-XL-K;300;460;118;2160;3450;295000;1570;980;0,23;2,92;4,35;2,86
24060-BE-XL;300;460;160;2850;4900;425000;1250;720;0,32;2,12;3,15;2,07
24060-BE-XL-K30;300;460;160;2850;4900;425000;1250;720;0,32;2,12;3,15;2,07
23160-BEA-XL-K-MB1;300;500;160;3250;4950;365000;1300;720;0,31;2,18;3,24;2,13
23160-BEA-XL-MB1;300;500;160;3250;4950;365000;1300;720;0,31;2,18;3,24;2,13
24160-BE-XL;300;500;200;3950;6400;485000;1100;450;0,39;1,72;2,56;1,68
24160-BE-XL-K30;300;500;200;3950;6400;485000;1100;450;0,39;1,72;2,56;1,68
22260-BEA-XL-K-MB1;300;540;140;3100;4250;355000;1500;900;0,25;2,71;4,04;2,65
22260-BEA-XL-MB1;300;540;140;3100;4250;355000;1500;900;0,25;2,71;4,04;2,65
23260-BEA-XL-K-MB1;300;540;192;4100;6100;440000;1160;560;0,35;1,92;2,86;1,88
23260-BEA-XL-MB1;300;540;192;4100;6100;440000;1160;560;0,35;1,92;2,86;1,88
23964-K-MB;320;440;90;1310;2750;201000;1700;930;0,19;3,62;5,39;3,54
23964-MB;320;440;90;1310;2750;201000;1700;930;0,19;3,62;5,39;3,54
23064-BEA-XL-K-MB1;320;480;121;2300;3750;320000;1480;920;0,22;3,01;4,48;2,94
23064-BEA-XL-MB1;320;480;121;2300;3750;320000;1480;920;0,22;3,01;4,48;2,94
24064-BEA-XL-K30-MB1;320;480;160;2950;5200;455000;1200;670;0,3;2,23;3,32;2,18
24064-BEA-XL-MB1;320;480;160;2950;5200;455000;1200;670;0,3;2,23;3,32;2,18
23164-BEA-XL-K-MB1;320;540;176;3800;5900;415000;1170;650;0,32;2,13;3,17;2,08
23164-BEA-XL-MB1;320;540;176;3800;5900;415000;1170;650;0,32;2,13;3,17;2,08
24164-BE-XL;320;540;218;4600;7300;560000;1010;415;0,4;1,69;2,52;1,65
24164-BE-XL-K30;320;540;218;4600;7300;560000;1010;415;0,4;1,69;2,52;1,65
22264-BEA-XL-K-MB1;320;580;150;3550;4700;395000;1410;830;0,25;2,71;4,04;2,65
22264-BEA-XL-MB1;320;580;150;3550;4700;395000;1410;830;0,25;2,71;4,04;2,65
23264-BEA-XL-K-MB1;320;580;208;4650;7000;495000;1060;510;0,35;1,91;2,85;1,87
23264-BEA-XL-MB1;320;580;208;4650;7000;495000;1060;510;0,35;1,91;2,85;1,87
23968-K-MB;340;460;90;1370;3000;198000;1610;860;0,18;3,85;5,73;3,76
23968-MB;340;460;90;1370;3000;198000;1610;860;0,18;3,85;5,73;3,76
23068-BEA-XL-K-MB1;340;520;133;2700;4400;365000;1360;840;0,23;2,92;4,35;2,86
23068-BEA-XL-MB1;340;520;133;2700;4400;365000;1360;840;0,23;2,92;4,35;2,86
24068-BEA-XL-K30-MB1;340;520;180;3550;6200;520000;1080;610;0,32;2,12;3,15;2,07
24068-BEA-XL-MB1;340;520;180;3550;6200;520000;1080;610;0,32;2,12;3,15;2,07
23168-BEA-XL-K-MB1;340;580;190;4350;6600;465000;1090;600;0,32;2,1;3,13;2,06
23168-BEA-XL-MB1;340;580;190;4350;6600;465000;1090;600;0,32;2,1;3,13;2,06
24168-BE-XL;340;580;243;5400;8800;620000;900;370;0,42;1,62;2,42;1,59
24168-BE-XL-K30;340;580;243;5400;8800;620000;900;370;0,42;1,62;2,42;1,59
22268-BEA-XL-K-MB1;340;620;165;4100;5600;445000;1280;770;0,26;2,62;3,9;2,56
22268-BEA-XL-MB1;340;620;165;4100;5600;445000;1280;770;0,26;2,62;3,9;2,56
23268-BEA-XL-K-MB1;340;620;224;5300;7900;570000;1000;475;0,36;1,85;2,76;1,81
23268-BEA-XL-MB1;340;620;224;5300;7900;570000;1000;475;0,36;1,85;2,76;1,81
23972-K-MB;360;480;90;1440;3200;210000;1540;800;0,17;4,05;6,04;3,96
23972-MB;360;480;90;1440;3200;210000;1540;800;0,17;4,05;6,04;3,96
23072-BEA-XL-MB1;360;540;134;2800;4650;390000;1300;790;0,22;3,04;4,53;2,97
24072-BEA-XL-MB1;360;540;180;3650;6600;550000;1040;570;0,3;2,23;3,32;2,18
23172-BEA-XL-MB1;360;600;192;4550;7100;495000;1040;560;0,31;2,18;3,24;2,13
24172-BE-XL;360;600;243;5600;9100;660000;890;350;0,4;1,69;2,52;1,65
24172-BE-XL-K30;360;600;243;5600;9100;660000;890;350;0,4;1,69;2,52;1,65
22272-BEA-XL-K-MB1;360;650;170;4450;6200;485000;1190;710;0,25;2,69;4;2,63
22272-BEA-XL-MB1;360;650;170;4450;6200;485000;1190;710;0,25;2,69;4;2,63
23272-BEA-XL-MB1;360;650;232;5700;8900;610000;930;430;0,36;1,9;2,83;1,86
23976-K-MB;380;520;106;1780;4000;265000;1340;750;0,19;3,58;5,33;3,5
23976-MB;380;520;106;1780;4000;265000;1340;750;0,19;3,58;5,33;3,5
23076-BEA-XL-MB1;380;560;135;2900;5000;410000;1230;740;0,21;3,17;4,72;3,1
24076-BEA-XL-MB1;380;560;180;3750;7000;590000;990;530;0,29;2,33;3,47;2,28
23176-BEA-XL-MB1;380;620;194;4700;7600;530000;990;530;0,3;2,25;3,34;2,2
24176-BE-XL;380;620;243;5800;9700;710000;850;325;0,38;1,76;2,62;1,72
24176-BE-XL-K30;380;620;243;5800;9700;710000;850;325;0,38;1,76;2,62;1,72
23276-BEA-XL-MB1;380;680;240;6200;9600;660000;890;400;0,35;1,92;2,86;1,88
23980-B-K-MB;400;540;106;1830;4150;270000;1290;710;0,18;3,71;5,52;3,63
23980-B-MB;400;540;106;1830;4150;270000;1290;710;0,18;3,71;5,52;3,63
23080-BEA-XL-MB1;400;600;148;3400;5700;465000;1150;690;0,22;3,07;4,57;3
24080-BEA-XL-MB1;400;600;200;4500;8100;660000;920;495;0,3;2,23;3,32;2,18
23180-BEA-XL-MB1;400;650;200;5000;8100;570000;950;495;0,29;2,3;3,42;2,25
24180-BE-XL;400;650;250;6200;10600;760000;800;300;0,37;1,82;2,7;1,78
24180-BE-XL-K30;400;650;250;6200;10600;760000;800;300;0,37;1,82;2,7;1,78
23280-BEA-XL-MB1;400;720;256;7000;10900;730000;820;370;0,36;1,9;2,83;1,86
23984-K-MB;420;560;106;1910;4450;300000;1230;660;0,18;3,85;5,73;3,76
23984-MB;420;560;106;1910;4450;300000;1230;660;0,18;3,85;5,73;3,76
23084-BEA-XL-K-MB1;420;620;150;3650;6300;510000;1090;650;0,21;3,17;4,72;3,1
23084-BEA-XL-MB1;420;620;150;3650;6300;510000;1090;650;0,21;3,17;4,72;3,1
24084-BEA-XL-K30-MB1;420;620;200;4600;8500;710000;890;465;0,29;2,32;3,45;2,26
24084-BEA-XL-MB1;420;620;200;4600;8500;710000;890;465;0,29;2,32;3,45;2,26
23184-BEA-XL-K-MB1;420;700;224;6000;9600;650000;860;455;0,31;2,18;3,24;2,13
23184-BEA-XL-MB1;420;700;224;6000;9600;650000;860;455;0,31;2,18;3,24;2,13
24184-BE-XL;420;700;280;7400;12600;860000;720;270;0,39;1,72;2,56;1,68
24184-BE-XL-K30;420;700;280;7400;12600;860000;720;270;0,39;1,72;2,56;1,68
23284-BEA-XL-K-MB1;420;760;272;7800;12300;800000;770;340;0,36;1,89;2,81;1,84
23284-BEA-XL-MB1;420;760;272;7800;12300;800000;770;340;0,36;1,89;2,81;1,84
23988-K-MB;440;600;118;2230;5200;295000;1130;620;0,18;3,66;5,46;3,58
23988-MB;440;600;118;2230;5200;295000;1130;620;0,18;3,66;5,46;3,58
23088-BEA-XL-K-MB1;440;650;157;3950;6900;550000;1030;610;0,21;3,17;4,72;3,1
23088-BEA-XL-MB1;440;650;157;3950;6900;550000;1030;610;0,21;3,17;4,72;3,1
24088-BEA-XL-K30-MB1;440;650;212;5100;9500;760000;830;435;0,29;2,3;3,42;2,25
24088-BEA-XL-MB1;440;650;212;5100;9500;760000;830;435;0,29;2,3;3,42;2,25
23188-BEA-XL-K-MB1;440;720;226;6200;10200;680000;820;430;0,3;2,25;3,34;2,2
23188-BEA-XL-MB1;440;720;226;6200;10200;680000;820;430;0,3;2,25;3,34;2,2
24188-BE-XL;440;720;280;7600;12900;910000;710;260;0,38;1,78;2,65;1,74
24188-BE-XL-K30;440;720;280;7600;12900;910000;710;260;0,38;1,78;2,65;1,74
23288-BEA-XL-K-MB1;440;790;280;8300;13200;860000;730;320;0,35;1,91;2,85;1,87
23288-BEA-XL-MB1;440;790;280;8300;13200;860000;730;320;0,35;1,91;2,85;1,87
24892-B-MB;460;580;118;1940;5100;330000;1020;325;0,18;3,76;5,59;3,67
23992-B-K-MB;460;620;118;2270;5400;370000;1080;590;0,18;3,85;5,73;3,76
23992-B-MB;460;620;118;2270;5400;370000;1080;590;0,18;3,85;5,73;3,76
23092-BEA-XL-K-MB1;460;680;163;4300;7500;590000;980;580;0,21;3,17;4,72;3,1
23092-BEA-XL-MB1;460;680;163;4300;7500;590000;980;580;0,21;3,17;4,72;3,1
24092-BEA-XL-K30-MB1;460;680;218;5500;10200;820000;800;410;0,29;2,33;3,47;2,28
24092-BEA-XL-MB1;460;680;218;5500;10200;820000;800;410;0,29;2,33;3,47;2,28
23192-BEA-XL-K-MB1;460;760;240;6900;11500;740000;770;395;0,31;2,21;3,29;2,16
23192-BEA-XL-MB1;460;760;240;6900;11500;740000;770;395;0,31;2,21;3,29;2,16
24192-BEA-XL-K30-MB1;460;760;300;8500;14500;1000000;660;241;0,38;1,76;2,62;1,72
24192-BEA-XL-MB1;460;760;300;8500;14500;1000000;660;241;0,38;1,76;2,62;1,72
23292-BEA-XL-K-MB1;460;830;296;9200;14700;930000;690;295;0,36;1,9;2,83;1,86
23292-BEA-XL-MB1;460;830;296;9200;14700;930000;690;295;0,36;1,9;2,83;1,86
