Designation;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed;e;Y1;Y2;Y0
135-TVH;5;19;6;2600;475;29.5;41500;24500;0.35;1.82;2.82;1.91
126-TVH;6;19;6;2600;475;29.5;41500;30500;0.35;1.82;2.82;1.91
127-TVH;7;22;7;2750;560;34.5;39000;26500;0.33;1.92;2.97;2.01
108-TVH;8;22;7;2750;560;34.5;39000;27000;0.33;1.92;2.97;2.01
129-TVH;9;26;8;3950;800;50;33500;24100;0.32;1.95;3.01;2.04
1200-TVH;10;30;9;5700;1180;73;29500;22100;0.32;1.95;3.02;2.05
2200-2RS-TVH;10;30;14;5700;1180;73;16500;27000;0.32;1.95;3.02;2.05
2200-TVH;10;30;14;8800;1730;107;25500;26000;0.58;1.09;1.69;1.14
1201-TVH;12;32;10;5700;1250;78;28000;21300;0.37;1.69;2.62;1.77
2201-2RS-TVH;12;32;14;5700;1250;78;14700;27000;0.37;1.69;2.62;1.77
2201-TVH;12;32;14;9400;1920;120;24200;23300;0.53;1.2;1.85;1.25
1301-TVH;12;37;12;9800;2140;133;22300;16200;0.35;1.8;2.79;1.89
1202-TVH;15;35;11;7700;1730;108;23800;19100;0.34;1.86;2.88;1.95
2202-2RS-TVH;15;35;14;7700;1730;108;13300;27000;0.34;1.86;2.88;1.95
2202-TVH;15;35;14;9600;2080;130;22200;19600;0.46;1.37;2.13;1.44
2302-2RS-TVH;15;42;17;9800;2260;141;11200;27000;0.35;1.79;2.77;1.88
2302-TVH;15;42;17;17400;3800;237;17200;15600;0.51;1.23;1.91;1.29
1203-TVH;17;40;12;8100;2000;124;21800;17400;0.33;1.93;2.99;2.03
2203-2RS-TVH;17;40;16;8100;2000;124;11300;27000;0.33;1.93;2.99;2.03
2203-TVH;17;40;16;11800;2750;171;19100;17400;0.46;1.37;2.12;1.43
1303-TVH;17;47;14;12900;3150;197;17800;13300;0.32;1.94;3;2.03
2303-2RS-TVH;17;47;19;12900;3150;197;10100;27000;0.32;1.94;3;2.03
2303-TVH;17;47;19;13900;3150;197;17000;14900;0.53;1.19;1.85;1.25
1204-K-TVH-C3;20;47;14;10100;2600;161;18100;15300;0.28;2.24;3.46;2.34
1204-TVH;20;47;14;10100;2600;161;18100;15300;0.28;2.24;3.46;2.34
2204-2RS-TVH;20;47;18;10100;2600;161;9400;–;0.28;2.24;3.46;2.34
2204-TVH;20;47;18;14700;3500;219;16300;15600;0.44;1.45;2.24;1.51
1304-TVH;20;52;15;12700;3300;206;16100;11600;0.29;2.17;3.35;2.27
2304-2RS-TVH;20;52;21;12700;3300;206;8500;–;0.29;2.17;3.35;2.27
2304-TVH;20;52;21;17600;4250;265;15000;13800;0.51;1.23;1.9;1.29
1205-K-TVH-C3;25;52;15;12300;3250;203;15500;13400;0.27;2.37;3.66;2.48
1205-TVH;25;52;15;12300;3250;203;15500;13400;0.27;2.37;3.66;2.48
2205-2RS-TVH;25;52;18;12300;3250;203;8100;–;0.27;2.37;3.66;2.48
2205-K-2RS-TVH-C3;25;52;18;12300;3250;203;8100;–;0.27;2.37;3.66;2.48
2205-K-TVH-C3;25;52;18;17300;4400;275;14400;13400;0.35;1.78;2.75;1.86
2205-TVH;25;52;18;17300;4400;275;14400;13400;0.35;1.78;2.75;1.86
1305-K-TVH-C3;25;62;17;18300;4950;310;12900;10000;0.28;2.29;3.54;2.4
1305-TVH;25;62;17;18300;4950;310;12900;10000;0.28;2.29;3.54;2.4
2305-2RS-TVH;25;62;24;18300;4950;310;7000;–;0.28;2.29;3.54;2.4
2305-K-TVH-C3;25;62;24;25000;6500;405;12200;11900;0.48;1.32;2.04;1.38
2305-TVH;25;62;24;25000;6500;405;12200;11900;0.48;1.32;2.04;1.38
1206-K-TVH-C3;30;62;16;15900;4600;285;13100;11400;0.25;2.53;3.91;2.65
1206-TVH;30;62;16;15900;4600;285;13100;11400;0.25;2.53;3.91;2.65
2206-2RS-TVH;30;62;20;15900;4600;285;6800;–;0.25;2.53;3.91;2.65
2206-K-2RS-TVH-C3;30;62;20;15900;4600;285;6800;–;0.25;2.53;3.91;2.65
2206-K-TVH-C3;30;62;20;26000;6900;425;11500;11400;0.3;2.13;3.29;2.23
2206-TVH;30;62;20;26000;6900;425;11500;11400;0.3;2.13;3.29;2.23
1306-K-TVH-C3;30;72;19;21700;6300;390;11100;8700;0.26;2.39;3.71;2.51
1306-TVH;30;72;19;21700;6300;390;11100;8700;0.26;2.39;3.71;2.51
2306-2RS-TVH;30;72;27;21700;6300;390;5900;–;0.26;2.39;3.71;2.51
2306-K-TVH-C3;30;72;27;32500;8700;540;10200;10400;0.45;1.4;2.17;1.47
2306-TVH;30;72;27;32500;8700;540;10200;10400;0.45;1.4;2.17;1.47
1207-K-TVH-C3;35;72;17;16000;5100;315;11600;9800;0.22;2.8;4.34;2.94
1207-TVH;35;72;17;16000;5100;315;11600;9800;0.22;2.8;4.34;2.94
2207-2RS-TVH;35;72;23;16000;5100;315;5600;–;0.22;2.8;4.34;2.94
2207-K-2RS-TVH-C3;35;72;23;16000;5100;315;5600;–;0.22;2.8;4.34;2.94
2207-K-TVH-C3;35;72;23;33000;8900;560;9800;10300;0.3;2.13;3.29;2.23
2207-TVH;35;72;23;33000;8900;560;9800;10300;0.3;2.13;3.29;2.23
1307-K-TVH-C3;35;80;21;25500;7800;485;9700;7800;0.26;2.47;3.82;2.59
1307-TVH;35;80;21;25500;7800;485;9700;7800;0.26;2.47;3.82;2.59
2307-2RS-TVH;35;80;31;25500;7800;485;5200;–;0.26;2.47;3.82;2.59
2307-K-TVH-C3;35;80;31;40500;11100;690;8900;9800;0.47;1.35;2.1;1.42
2307-TVH;35;80;31;40500;11100;690;8900;9800;0.47;1.35;2.1;1.42
1208-K-TVH-C3;40;80;18;19400;6500;400;10100;8600;0.22;2.9;4.49;3.04
1208-TVH;40;80;18;19400;6500;400;10100;8600;0.22;2.9;4.49;3.04
2208-2RS-TVH;40;80;23;19400;6500;400;4950;–;0.22;2.9;4.49;3.04
2208-K-2RS-TVH-C3;40;80;23;19400;6500;400;4950;–;0.22;2.9;4.49;3.04
2208-K-TVH-C3;40;80;23;32500;9400;580;8900;8700;0.26;2.43;3.76;2.54
2208-TVH;40;80;23;32500;9400;580;8900;8700;0.26;2.43;3.76;2.54
1308-K-TVH-C3;40;90;23;30000;9600;600;8600;7200;0.25;2.52;3.9;2.64
1308-TVH;40;90;23;30000;9600;600;8600;7200;0.25;2.52;3.9;2.64
2308-2RS-TVH;40;90;33;30000;9600;600;4650;–;0.25;2.52;3.9;2.64
2308-K-TVH-C3;40;90;33;46000;13400;830;7900;8700;0.43;1.45;2.25;1.52
2308-TVH;40;90;33;46000;13400;830;7900;8700;0.43;1.45;2.25;1.52
1209-K-TVH-C3;45;85;19;22000;7300;455;9300;8200;0.21;3.04;4.7;3.18
1209-TVH;45;85;19;22000;7300;455;9300;8200;0.21;3.04;4.7;3.18
2209-2RS-TVH;45;85;23;22000;7300;455;4650;–;0.21;3.04;4.7;3.18
2209-K-2RS-TVH-C3;45;85;23;22000;7300;455;4650;–;0.21;3.04;4.7;3.18
2209-K-TVH-C3;45;85;23;28500;8900;550;8600;7800;0.26;2.43;3.76;2.54
2209-TVH;45;85;23;28500;8900;550;8600;7800;0.26;2.43;3.76;2.54
1309-K-TVH-C3;45;100;25;38500;12600;780;7500;6700;0.25;2.5;3.87;2.62
1309-TVH;45;100;25;38500;12600;780;7500;6700;0.25;2.5;3.87;2.62
2309-2RS-TVH;45;100;36;38500;12600;780;4200;–;0.25;2.5;3.87;2.62
2309-K-TVH-C3;45;100;36;55000;16500;1030;7000;8000;0.43;1.48;2.29;1.55
2309-TVH;45;100;36;55000;16500;1030;7000;8000;0.43;1.48;2.29;1.55
1210-K-TVH-C3;50;90;20;22900;8000;500;8700;7700;0.2;3.17;4.9;3.32
1210-TVH;50;90;20;22900;8000;500;8700;7700;0.2;3.17;4.9;3.32
2210-2RS-TVH;50;90;23;22900;8000;500;4250;–;0.2;3.17;4.9;3.32
2210-K-2RS-TVH-C3;50;90;23;22900;8000;500;4250;–;0.2;3.17;4.9;3.32
2210-K-TVH-C3;50;90;23;28500;9400;580;8100;7100;0.24;2.61;4.05;2.74
2210-TVH;50;90;23;28500;9400;580;8100;7100;0.24;2.61;4.05;2.74
1310-K-TVH-C3;50;110;27;42000;14100;880;6900;6300;0.24;2.6;4.03;2.73
1310-TVH;50;110;27;42000;14100;880;6900;6300;0.24;2.6;4.03;2.73
2310-2RS-TVH;50;110;40;42000;14100;880;3750;–;0.24;2.6;4.03;2.73
2310-TVH;50;110;40;66000;20100;1250;6300;7600;0.43;1.47;2.27;1.54
1211-K-TVH-C3;55;100;21;27000;9900;620;7700;6900;0.19;3.31;5.12;3.47
1211-TVH;55;100;21;27000;9900;620;7700;6900;0.19;3.31;5.12;3.47
2211-2RS-TVH;55;100;25;27000;9900;620;3850;–;0.19;3.31;5.12;3.47
2211-K-2RS-TVH-C3;55;100;25;27000;9900;620;3850;–;0.19;3.31;5.12;3.47
2211-K-TVH-C3;55;100;25;39000;12400;770;7000;6700;0.22;2.92;4.52;3.06
2211-TVH;55;100;25;39000;12400;770;7000;6700;0.22;2.92;4.52;3.06
1311-K-TVH-C3;55;120;29;52000;17700;1100;6100;5800;0.24;2.66;4.12;2.79
1311-TVH;55;120;29;52000;17700;1100;6100;5800;0.24;2.66;4.12;2.79
2311-2RS-TVH;55;120;43;52000;17700;1100;3450;–;0.24;2.66;4.12;2.79
2311-K-TVH-C3;55;120;43;77000;23800;1480;5700;7100;0.42;1.51;2.33;1.58
2311-TVH;55;120;43;77000;23800;1480;5700;7100;0.42;1.51;2.33;1.58
1212-K-TVH-C3;60;110;22;30500;11400;710;6900;6300;0.18;3.47;5.37;3.64
1212-TVH;60;110;22;30500;11400;710;6900;6300;0.18;3.47;5.37;3.64
2212-2RS-TVH;60;110;28;30500;11400;710;3450;–;0.18;3.47;5.37;3.64
2212-K-2RS-TVH-C3;60;110;28;30500;11400;710;3450;–;0.18;3.47;5.37;3.64
2212-K-TVH-C3;60;110;28;48000;16300;1020;6300;6400;0.23;2.69;4.16;2.82
2212-TVH;60;110;28;48000;16300;1020;6300;6400;0.23;2.69;4.16;2.82
1312-K-TVH-C3;60;130;31;58000;20600;1280;5500;5200;0.23;2.77;4.28;2.9
1312-TVH;60;130;31;58000;20600;1280;5500;5200;0.23;2.77;4.28;2.9
2312-K-TVH-C3;60;130;46;89000;28000;1740;5200;6700;0.41;1.55;2.4;1.62
2312-TVH;60;130;46;89000;28000;1740;5200;6700;0.41;1.55;2.4;1.62
1213-K-TVH-C3;65;120;23;31000;12400;770;6500;5800;0.18;3.57;5.52;3.74
1213-TVH;65;120;23;31000;12400;770;6500;5800;0.18;3.57;5.52;3.74
2213-2RS-TVH;65;120;31;31000;12400;770;3150;–;0.18;3.57;5.52;3.74
2213-K-2RS-TVH-C3;65;120;31;31000;12400;770;3150;–;0.18;3.57;5.52;3.74
2213-K-TVH-C3;65;120;31;58000;19000;1190;5600;6200;0.23;2.78;4.31;2.92
2213-TVH;65;120;31;58000;19000;1190;5600;6200;0.23;2.78;4.31;2.92
1313-K-TVH-C3;65;140;33;63000;22700;1380;5200;5100;0.23;2.75;4.26;2.88
1313-TVH;65;140;33;63000;22700;1380;5200;5100;0.23;2.75;4.26;2.88
2313-K-TVH-C3;65;140;48;98000;32000;1980;4750;6100;0.39;1.62;2.51;1.7
2313-TVH;65;140;48;98000;32000;1980;4750;6100;0.39;1.62;2.51;1.7
1214-K-TVH-C3;70;125;24;35000;13700;850;6200;5900;0.19;3.36;5.21;3.52
1214-TVH;70;125;24;35000;13700;850;6200;5900;0.19;3.36;5.21;3.52
2214-2RS-TVH;70;125;31;35000;13700;850;3050;–;0.19;3.36;5.21;3.52
2214-M;70;125;31;44000;16900;1050;8800;5900;0.27;2.34;3.62;2.45
1314-M;70;150;35;75000;27500;1620;7200;4950;0.23;2.79;4.32;2.93
2314-M;70;150;51;112000;37000;2210;6600;5800;0.38;1.65;2.55;1.73
1215-K-TVH-C3;75;130;25;39000;15600;950;5700;5500;0.19;3.32;5.15;3.48
1215-TVH;75;130;25;39000;15600;950;5700;5500;0.19;3.32;5.15;3.48
2215-K-TVH-C3;75;130;31;44500;17600;1080;5600;5600;0.26;2.47;3.82;2.59
2215-TVH;75;130;31;44500;17600;1080;5600;5600;0.26;2.47;3.82;2.59
1315-K-M-C3;75;160;37;80000;29500;1690;6700;4750;0.23;2.77;4.29;2.9
1315-M;75;160;37;80000;29500;1690;6700;4750;0.23;2.77;4.29;2.9
2315-K-M-C3;75;160;55;125000;42000;2420;6100;5600;0.38;1.64;2.54;1.72
2315-M;75;160;55;125000;42000;2420;6100;5600;0.38;1.64;2.54;1.72
1216-K-TVH-C3;80;140;26;40000;16800;990;5300;5100;0.16;3.9;6.03;4.08
1216-TVH;80;140;26;40000;16800;990;5300;5100;0.16;3.9;6.03;4.08
2216-K-TVH-C3;80;140;33;49500;19800;1180;5300;5400;0.25;2.48;3.84;2.6
2216-TVH;80;140;33;49500;19800;1180;5300;5400;0.25;2.48;3.84;2.6
1316-K-M-C3;80;170;39;89000;33000;1810;6200;4500;0.22;2.87;4.44;3
1316-M;80;170;39;89000;33000;1810;6200;4500;0.22;2.87;4.44;3
2316-K-M-C3;80;170;58;139000;48500;2700;5700;5400;0.37;1.7;2.62;1.78
2316-M;80;170;58;139000;48500;2700;5700;5400;0.37;1.7;2.62;1.78
1217-K-TVH-C3;85;150;28;49500;20600;1180;4900;4950;0.17;3.73;5.78;3.91
1217-TVH;85;150;28;49500;20600;1180;4900;4950;0.17;3.73;5.78;3.91
2217-K-M-C3;85;150;36;59000;23400;1340;7200;5200;0.26;2.46;3.81;2.58
2217-M;85;150;36;59000;23400;1340;7200;5200;0.26;2.46;3.81;2.58
1317-K-M-C3;85;180;41;99000;37500;2010;5800;4300;0.22;2.88;4.46;3.02
1317-M;85;180;41;99000;37500;2010;5800;4300;0.22;2.88;4.46;3.02
2317-K-M-C3;85;180;60;143000;51000;2750;5400;5200;0.37;1.68;2.61;1.76
2317-M;85;180;60;143000;51000;2750;5400;5200;0.37;1.68;2.61;1.76
1218-K-TVH-C3;90;160;30;57000;23300;1300;4550;4850;0.17;3.74;5.79;3.92
1218-TVH;90;160;30;57000;23300;1300;4550;4850;0.17;3.74;5.79;3.92
2218-K-TVH-C3;90;160;40;71000;28500;1580;4400;5200;0.27;2.33;3.61;2.44
2218-TVH;90;160;40;71000;28500;1580;4400;5200;0.27;2.33;3.61;2.44
1318-K-M-C3;90;190;43;109000;42500;2230;5500;4200;0.22;2.83;4.38;2.97
1318-M;90;190;43;109000;42500;2230;5500;4200;0.22;2.83;4.38;2.97
2318-K-M-C3;90;190;64;156000;57000;3000;5100;5000;0.39;1.63;2.53;1.71
2318-M;90;190;64;156000;57000;3000;5100;5000;0.39;1.63;2.53;1.71
1219-K-M-C3;95;170;32;64000;27000;1450;6300;4600;0.17;3.73;5.78;3.91
1219-M;95;170;32;64000;27000;1450;6300;4600;0.17;3.73;5.78;3.91
2219-K-M-C3;95;170;43;84000;34000;1840;6100;5000;0.27;2.32;3.59;2.43
2219-M;95;170;43;84000;34000;1840;6100;5000;0.27;2.32;3.59;2.43
1319-K-M-C3;95;200;45;134000;50000;2550;5100;4050;0.23;2.73;4.23;2.86
1319-M;95;200;45;134000;50000;2550;5100;4050;0.23;2.73;4.23;2.86
2319-K-M-C3;95;200;67;167000;63000;3250;4800;4750;0.38;1.66;2.57;1.74
2319-M;95;200;67;167000;63000;3250;4800;4750;0.38;1.66;2.57;1.74
1220-K-M-C3;100;180;34;70000;29500;1550;6000;4500;0.18;3.58;5.53;3.75
1220-M;100;180;34;70000;29500;1550;6000;4500;0.18;3.58;5.53;3.75
2220-K-M-C3;100;180;46;98000;40000;2120;5700;4900;0.27;2.33;3.61;2.44
2220-M;100;180;46;98000;40000;2120;5700;4900;0.27;2.33;3.61;2.44
1320-K-M-C3;100;215;47;145000;57000;2800;4700;3850;0.24;2.68;4.15;2.81
1320-M;100;215;47;145000;57000;2800;4700;3850;0.24;2.68;4.15;2.81
2320-K-M-C3;100;215;73;196000;78000;3900;4300;4350;0.38;1.67;2.58;1.75
2320-M;100;215;73;196000;78000;3900;4300;4350;0.38;1.67;2.58;1.75
1221-M;105;190;36;75000;32000;1640;5700;4350;0.18;3.54;5.48;3.71
1321-M;105;225;49;158000;64000;3100;4450;3750;0.23;2.75;4.25;2.88
1222-K-M-C3;110;200;38;89000;38000;1900;5300;4250;0.17;3.61;5.59;3.78
1222-M;110;200;38;89000;38000;1900;5300;4250;0.17;3.61;5.59;3.78
2222-K-M-C3;110;200;53;126000;51000;2550;5000;4700;0.28;2.23;3.45;2.33
2222-M;110;200;53;126000;51000;2550;5000;4700;0.28;2.23;3.45;2.33
1322-K-M-C3;110;240;50;165000;71000;3300;4200;3400;0.23;2.79;4.32;2.92
1322-M;110;240;50;165000;71000;3300;4200;3400;0.23;2.79;4.32;2.92
2322-K-M-C3;110;240;80;221000;94000;4400;3850;3900;0.37;1.69;2.62;1.77
2322-M;110;240;80;221000;94000;4400;3850;3900;0.37;1.69;2.62;1.77
1224-M;120;215;42;121000;52000;2500;4750;4200;0.2;3.11;4.81;3.25
1226-M;130;230;46;125000;55000;2550;4450;4000;0.19;3.24;5.02;3.4
1228-M;140;250;50;163000;74000;3300;3900;3650;0.21;3.05;4.71;3.19
1230-M;150;270;54;180000;86000;3700;3600;3400;0.22;2.9;4.49;3.04
